ticker,date,period_ending,estimate,reported,surprise,surprise%
A,15-Aug-23,Jul-23,1.37,1.43,0.06,4.38
AA,19-Jul-23,Jun-23,-0.59,-0.35,0.24,40.68
AAL,20-Jul-23,Jun-23,1.58,1.92,0.34,21.52
AAN,31-Jul-23,Jun-23,0.18,0.39,0.21,116.67
AAON,3-Aug-23,Jun-23,0.42,0.55,0.13,30.95
AAP,23-Aug-23,Jun-23,1.72,1.43,-0.29,-16.86
AAPL,3-Aug-23,Jun-23,1.19,1.26,0.07,5.88
AAT,25-Jul-23,Jun-23,0.54,0.2,-0.34,-62.96
ABBV,27-Jul-23,Jun-23,2.79,2.91,0.12,4.3
ABCB,27-Jul-23,Jun-23,1.12,0.91,-0.21,-18.75
ABG,25-Jul-23,Jun-23,8.15,8.95,0.8,9.82
ABM,7-Sep-23,Jul-23,0.88,0.79,-0.09,-10.23
ABNB,3-Aug-23,Jun-23,0.77,0.98,0.21,27.27
ABR,28-Jul-23,Jun-23,0.47,0.57,0.1,21.28
ABT,20-Jul-23,Jun-23,1.04,1.08,0.04,3.85
ABUS,3-Aug-23,Jun-23,-0.12,-0.1,0.02,16.67
ACA,3-Aug-23,Jun-23,0.58,0.76,0.18,31.03
ACAD,2-Aug-23,Jun-23,-0.12,0.01,0.13,108.33
ACCD,29-Jun-23,May-23,-0.64,-0.52,0.12,18.75
ACCO,8-Aug-23,Jun-23,0.29,0.38,0.09,31.03
ACEL,3-Aug-23,Jun-23,0.16,0.23,0.07,43.75
ACET,9-Aug-23,Jun-23,-0.68,-0.75,-0.07,-10.29
ACGL,26-Jul-23,Jun-23,1.65,1.92,0.27,16.36
ACHC,27-Jul-23,Jun-23,0.83,0.92,0.09,10.84
ACHR,10-Aug-23,Jun-23,-0.32,-0.62,-0.3,-93.75
ACI,25-Jul-23,May-23,0.81,0.93,0.12,14.81
ACLS,2-Aug-23,Jun-23,1.46,1.86,0.4,27.4
ACLX,14-Aug-23,Jun-23,-0.68,-0.5,0.18,26.47
ACM,7-Aug-23,Jun-23,0.95,0.94,-0.01,-1.05
ACMR,4-Aug-23,Jun-23,0.1,0.48,0.38,380
ACN,22-Jun-23,May-23,2.96,3.19,0.23,7.77
ACNB,27-Jul-23,Jun-23,1.04,1.12,0.08,7.69
ACRE,2-Aug-23,Jun-23,0.32,0.35,0.03,9.38
ACRS,7-Aug-23,Jun-23,-0.45,-0.42,0.03,6.67
ACT,1-Aug-23,Jun-23,0.82,1.1,0.28,34.15
ACVA,7-Aug-23,Jun-23,-0.07,-0.01,0.06,85.71
ADBE,15-Jun-23,May-23,3.78,3.91,0.13,3.44
ADC,1-Aug-23,Jun-23,0.98,0.42,-0.56,-57.14
ADI,23-Aug-23,Jul-23,2.53,2.49,-0.04,-1.58
ADM,25-Jul-23,Jun-23,1.59,1.89,0.3,18.87
ADMA,9-Aug-23,Jun-23,-0.02,-0.02,0,0
ADNT,2-Aug-23,Jun-23,0.39,0.98,0.59,151.28
ADP,26-Jul-23,Jun-23,1.83,1.89,0.06,3.28
ADPT,2-Aug-23,Jun-23,-0.33,-0.33,0,0
ADSK,23-Aug-23,Jul-23,1.72,1.91,0.19,11.05
ADT,8-Aug-23,Jun-23,0.23,0.16,-0.07,-30.43
ADUS,31-Jul-23,Jun-23,1,1.07,0.07,7
ADV,4-Aug-23,Jun-23,0.1,-0.03,-0.13,-130
AEE,2-Aug-23,Jun-23,0.78,0.9,0.12,15.38
AEHR,13-Jul-23,May-23,0.2,0.23,0.03,15
AEIS,3-Aug-23,Jun-23,1.07,1.11,0.04,3.74
AEL,7-Aug-23,Jun-23,1.65,1.62,-0.03,-1.82
AEO,6-Sep-23,Jul-23,0.15,0.25,0.1,66.67
AEP,27-Jul-23,Jun-23,1.14,1.13,-0.01,-0.88
AES,3-Aug-23,Jun-23,0.25,0.21,-0.04,-16
AFCG,8-Aug-23,Jun-23,0.55,0.49,-0.06,-10.91
AFG,2-Aug-23,Jun-23,2.85,2.38,-0.47,-16.49
AFL,1-Aug-23,Jun-23,1.42,1.58,0.16,11.27
AFRM,24-Aug-23,Jun-23,-0.86,-0.69,0.17,19.77
AGCO,27-Jul-23,Jun-23,3.72,4.29,0.57,15.32
AGEN,8-Aug-23,Jun-23,-0.2,-0.2,0,0
AGIO,3-Aug-23,Jun-23,-1.6,-1.51,0.09,5.63
AGL,3-Aug-23,Jun-23,-0.01,-0.04,-0.03,-300
AGM,7-Aug-23,Jun-23,3.1,3.86,0.76,24.52
AGNC,24-Jul-23,Jun-23,0.58,0.67,0.09,15.52
AGO,8-Aug-23,Jun-23,1.14,0.6,-0.54,-47.37
AGR,26-Jul-23,Jun-23,0.5,0.21,-0.29,-58
AGTI,8-Aug-23,Jun-23,0.15,0.14,-0.01,-6.67
AGYS,24-Jul-23,Jun-23,0.11,0.18,0.07,63.64
AHCO,8-Aug-23,Jun-23,0.11,0.16,0.05,45.45
AHH,3-Aug-23,Jun-23,0.31,0.13,-0.18,-58.06
AI,6-Sep-23,Jul-23,-0.17,-0.09,0.08,47.06
AIG,1-Aug-23,Jun-23,1.54,1.75,0.21,13.64
AIN,26-Jul-23,Jun-23,0.91,0.9,-0.01,-1.1
AIR,18-Jul-23,May-23,0.77,0.83,0.06,7.79
AIRC,27-Jul-23,Jun-23,0.59,-0.01,-0.6,-101.69
AIT,10-Aug-23,Jun-23,2.18,2.35,0.17,7.8
